funcPK,equipePK,dataPK,cargoPK,salario,quantidadeLancamentos
46,1,218,390,8233.47,1
91,2,218,233,9109.56,1
176,2,218,241,1671.24,1
172,1,218,351,11848.57,1
155,1,218,121,1668.81,1
19,2,218,223,1481.88,1
94,1,218,394,2087.58,1
26,2,218,350,7635.38,1
55,2,218,313,2679.61,1
29,1,218,62,3440.37,1
181,1,218,249,9235.62,1
118,1,218,169,1451.11,1
174,1,218,183,12278.42,1
141,1,218,63,8469.03,1
188,1,218,386,12495.85,1
112,2,218,419,3600.8,1
34,1,218,16,1361.02,1
69,1,218,68,3547.08,1
62,1,218,422,4414.81,1
190,2,218,254,3403.21,1
17,2,218,2,4301.54,1
10,2,218,395,4621.0,1
199,2,218,116,3919.67,1
76,1,218,383,4063.07,1
106,2,218,234,8009.98,1
179,1,218,12,17549.69,1
111,2,218,396,8398.7,1
43,1,218,74,8824.78,1
173,2,218,53,5483.11,1
183,2,218,240,19974.95,1
53,2,218,229,3029.63,1
42,1,218,177,10647.58,1
116,2,218,343,4882.98,1
30,2,218,408,14970.97,1
66,1,218,115,2542.72,1
35,2,218,412,1494.53,1
195,2,218,306,11969.68,1
104,2,218,36,11820.52,1
73,1,218,163,1723.42,1
48,1,218,270,12493.45,1
33,1,218,27,7641.58,1
147,2,249,64,1299.95,1
124,2,249,329,6752.31,1
175,1,249,328,2110.43,1
171,1,249,245,6568.92,1
148,2,249,65,3670.49,1
5,2,249,112,1855.55,1
128,1,249,341,5130.87,1
82,2,249,43,1321.26,1
28,1,249,253,1328.35,1
46,1,249,390,8233.47,1
91,2,249,233,9109.56,1
176,2,249,241,1671.24,1
172,1,249,351,11848.57,1
155,1,249,121,1668.81,1
19,2,249,223,1481.88,1
94,1,249,394,2087.58,1
26,2,249,350,7635.38,1
55,2,249,313,2679.61,1
29,1,249,62,3440.37,1
181,1,249,249,9235.62,1
118,1,249,169,1451.11,1
174,1,249,183,12278.42,1
141,1,249,63,8469.03,1
188,1,249,386,12495.85,1
112,2,249,419,3600.8,1
34,1,249,16,1361.02,1
69,1,249,68,3547.08,1
62,1,249,422,4414.81,1
190,2,249,254,3403.21,1
17,2,249,2,4301.54,1
10,2,249,395,4621.0,1
199,2,249,116,3919.67,1
76,1,249,383,4063.07,1
106,2,249,234,8009.98,1
179,1,249,12,17549.69,1
111,2,249,396,8398.7,1
43,1,249,74,8824.78,1
173,2,249,53,5483.11,1
183,2,249,240,19974.95,1
53,2,249,229,3029.63,1
42,1,249,177,10647.58,1
116,2,249,343,4882.98,1
30,2,249,408,14970.97,1
66,1,249,115,2542.72,1
35,2,249,412,1494.53,1
195,2,249,306,11969.68,1
104,2,249,36,11820.52,1
73,1,249,163,1723.42,1
48,1,249,270,12493.45,1
33,1,249,27,7641.58,1
147,2,279,64,1299.95,1
124,2,279,329,6752.31,1
175,1,279,328,2110.43,1
171,1,279,245,6568.92,1
148,2,279,65,3670.49,1
5,2,279,112,1855.55,1
128,1,279,341,5130.87,1
82,2,279,43,1321.26,1
28,1,279,253,1328.35,1
46,1,279,390,8233.47,1
91,2,279,233,9109.56,1
176,2,279,241,1671.24,1
172,1,279,351,11848.57,1
155,1,279,121,1668.81,1
19,2,279,223,1481.88,1
94,1,279,394,2087.58,1
26,2,279,350,7635.38,1
55,2,279,313,2679.61,1
29,1,279,62,3440.37,1
181,1,279,249,9235.62,1
118,1,279,169,1451.11,1
174,1,279,183,12278.42,1
141,1,279,63,8469.03,1
188,1,279,386,12495.85,1
112,2,279,419,3600.8,1
34,1,279,16,1361.02,1
69,1,279,68,3547.08,1
62,1,279,422,4414.81,1
190,2,279,254,3403.21,1
17,2,279,2,4301.54,1
10,2,279,395,4621.0,1
199,2,279,116,3919.67,1
76,1,279,383,4063.07,1
106,2,279,234,8009.98,1
179,1,279,12,17549.69,1
111,2,279,396,8398.7,1
43,1,279,74,8824.78,1
173,2,279,53,5483.11,1
183,2,279,240,19974.95,1
53,2,279,229,3029.63,1
42,1,279,177,10647.58,1
116,2,279,343,4882.98,1
30,2,279,408,14970.97,1
66,1,279,115,2542.72,1
35,2,279,412,1494.53,1
195,2,279,306,11969.68,1
104,2,279,36,11820.52,1
73,1,279,163,1723.42,1
48,1,279,270,12493.45,1
33,1,279,27,7641.58,1
147,2,310,64,1299.95,1
124,2,310,329,6752.31,1
175,1,310,328,2110.43,1
171,1,310,245,6568.92,1
148,2,310,65,3670.49,1
5,2,310,112,1855.55,1
128,1,310,341,5130.87,1
82,2,310,43,1321.26,1
28,1,310,253,1328.35,1
46,1,310,390,8233.47,1
91,2,310,233,9109.56,1
176,2,310,241,1671.24,1
172,1,310,351,11848.57,1
155,1,310,121,1668.81,1
19,2,310,223,1481.88,1
94,1,310,394,2087.58,1
26,2,310,350,7635.38,1
55,2,310,313,2679.61,1
29,1,310,62,3440.37,1
181,1,310,249,9235.62,1
118,1,310,169,1451.11,1
174,1,310,183,12278.42,1
141,1,310,63,8469.03,1
188,1,310,386,12495.85,1
112,2,310,419,3600.8,1
34,1,310,16,1361.02,1
69,1,310,68,3547.08,1
62,1,310,422,4414.81,1
190,2,310,254,3403.21,1
17,2,310,2,4301.54,1
10,2,310,395,4621.0,1
199,2,310,116,3919.67,1
76,1,310,383,4063.07,1
106,2,310,234,8009.98,1
179,1,310,12,17549.69,1
111,2,310,396,8398.7,1
43,1,310,74,8824.78,1
173,2,310,53,5483.11,1
183,2,310,240,19974.95,1
53,2,310,229,3029.63,1
42,1,310,177,10647.58,1
116,2,310,343,4882.98,1
30,2,310,408,14970.97,1
66,1,310,115,2542.72,1
35,2,310,412,1494.53,1
195,2,310,306,11969.68,1
104,2,310,36,11820.52,1
73,1,310,163,1723.42,1
48,1,310,270,12493.45,1
33,1,310,27,7641.58,1
147,2,340,64,1299.95,1
124,2,340,329,6752.31,1
175,1,340,328,2110.43,1
171,1,340,245,6568.92,1
148,2,340,65,3670.49,1
5,2,340,112,1855.55,1
128,1,340,341,5130.87,1
82,2,340,43,1321.26,1
28,1,340,253,1328.35,1
46,1,340,390,8233.47,1
91,2,340,233,9109.56,1
176,2,340,241,1671.24,1
172,1,340,351,11848.57,1
155,1,340,121,1668.81,1
19,2,340,223,1481.88,1
94,1,340,394,2087.58,1
26,2,340,350,7635.38,1
55,2,340,313,2679.61,1
29,1,340,62,3440.37,1
181,1,340,249,9235.62,1
118,1,340,169,1451.11,1
174,1,340,183,12278.42,1
141,1,340,63,8469.03,1
188,1,340,386,12495.85,1
112,2,340,419,3600.8,1
34,1,340,16,1361.02,1
69,1,340,68,3547.08,1
62,1,340,422,4414.81,1
190,2,340,254,3403.21,1
17,2,340,2,4301.54,1
10,2,340,395,4621.0,1
199,2,340,116,3919.67,1
76,1,340,383,4063.07,1
106,2,340,234,8009.98,1
179,1,340,12,17549.69,1
111,2,340,396,8398.7,1
43,1,340,74,8824.78,1
173,2,340,53,5483.11,1
183,2,340,240,19974.95,1
53,2,340,229,3029.63,1
42,1,340,177,10647.58,1
116,2,340,343,4882.98,1
30,2,340,408,14970.97,1
66,1,340,115,2542.72,1
35,2,340,412,1494.53,1
195,2,340,306,11969.68,1
104,2,340,36,11820.52,1
73,1,340,163,1723.42,1
48,1,340,270,12493.45,1
33,1,340,27,7641.58,1
147,2,371,64,1299.95,1
124,2,371,329,6752.31,1
175,1,371,328,2110.43,1
171,1,371,245,6568.92,1
148,2,371,65,3670.49,1
5,2,371,112,1855.55,1
128,1,371,341,5130.87,1
82,2,371,43,1321.26,1
28,1,371,253,1328.35,1
46,1,371,390,8233.47,1
91,2,371,233,9109.56,1
176,2,371,241,1671.24,1
172,1,371,351,11848.57,1
155,1,371,121,1668.81,1
19,2,371,223,1481.88,1
94,1,371,394,2087.58,1
26,2,371,350,7635.38,1
55,2,371,313,2679.61,1
29,1,371,62,3440.37,1
181,1,371,249,9235.62,1
118,1,371,169,1451.11,1
174,1,371,183,12278.42,1
141,1,371,63,8469.03,1
188,1,371,386,12495.85,1
112,2,371,419,3600.8,1
34,1,371,16,1361.02,1
69,1,371,68,3547.08,1
62,1,371,422,4414.81,1
190,2,371,254,3403.21,1
17,2,371,2,4301.54,1
10,2,371,395,4621.0,1
199,2,371,116,3919.67,1
76,1,371,383,4063.07,1
106,2,371,234,8009.98,1
179,1,371,12,17549.69,1
111,2,371,396,8398.7,1
43,1,371,74,8824.78,1
173,2,371,53,5483.11,1
183,2,371,240,19974.95,1
53,2,371,229,3029.63,1
42,1,371,177,10647.58,1
116,2,371,343,4882.98,1
30,2,371,408,14970.97,1
66,1,371,115,2542.72,1
35,2,371,412,1494.53,1
195,2,371,306,11969.68,1
104,2,371,36,11820.52,1
73,1,371,163,1723.42,1
48,1,371,270,12493.45,1
33,1,371,27,7641.58,1
135,5,371,94,1497.73,1
184,3,371,69,8499.77,1
196,3,371,125,3731.77,1
78,5,371,427,1515.36,1
20,5,371,10,1664.52,1
88,3,371,87,9409.54,1
39,3,371,52,3485.46,1
22,3,371,176,3475.9,1
79,4,371,142,2151.03,1
37,5,371,323,3746.73,1
152,3,371,380,3376.95,1
67,5,371,40,1398.67,1
192,3,371,324,15874.85,1
97,3,371,137,6496.56,1
120,5,371,303,8201.29,1
122,4,371,328,1317.44,1
74,4,371,334,1654.05,1
137,4,371,17,10066.61,1
4,5,371,3,8748.45,1
110,3,371,422,8400.99,1
160,4,371,54,10598.09,1
40,4,371,473,5531.58,1
121,3,371,181,1422.92,1
149,5,371,171,14459.55,1
90,5,371,11,6817.1,1
189,5,371,416,5572.04,1
36,3,371,13,2778.93,1
156,3,371,419,4967.46,1
11,3,371,8,5755.88,1
89,3,371,149,6115.21,1
185,3,371,146,4633.47,1
169,3,371,471,8550.73,1
15,3,371,335,3786.22,1
168,5,371,252,12240.81,1
56,4,371,414,9678.27,1
198,3,371,80,3912.7,1
59,5,371,50,4486.06,1
6,5,371,44,4309.6,1
178,4,371,330,22058.66,1
64,5,371,257,3684.14,1
146,5,371,479,7211.87,1
58,4,371,248,9275.85,1
140,3,371,417,14181.25,1
109,3,371,155,4468.68,1
151,5,371,331,1790.37,1
139,4,371,70,1584.56,1
197,5,371,254,3551.86,1
130,5,371,245,3756.63,1
2,3,371,463,1390.78,1
131,3,371,326,8024.02,1
200,5,371,318,8859.78,1
85,3,371,58,11068.83,1
119,5,371,74,5708.43,1
9,3,371,72,10902.97,1
38,5,371,139,2861.71,1
7,5,371,431,6027.07,1
65,3,371,311,3680.3,1
123,5,371,183,8155.11,1
163,4,371,77,6624.68,1
125,3,371,113,5125.98,1
147,2,402,64,1299.95,1
124,2,402,329,6752.31,1
175,1,402,328,2110.43,1
171,1,402,245,6568.92,1
148,2,402,65,3670.49,1
5,2,402,112,1855.55,1
128,1,402,341,5130.87,1
82,2,402,43,1321.26,1
28,1,402,253,1328.35,1
46,1,402,390,8233.47,1
91,2,402,233,9109.56,1
176,2,402,241,1671.24,1
172,1,402,351,11848.57,1
155,1,402,121,1668.81,1
19,2,402,223,1481.88,1
94,1,402,394,2087.58,1
26,2,402,350,7635.38,1
55,2,402,313,2679.61,1
29,1,402,62,3440.37,1
181,1,402,249,9235.62,1
118,1,402,169,1451.11,1
174,1,402,183,12278.42,1
141,1,402,63,8469.03,1
188,1,402,386,12495.85,1
112,2,402,419,3600.8,1
34,1,402,16,1361.02,1
69,1,402,68,3547.08,1
62,1,402,422,4414.81,1
190,2,402,254,3403.21,1
17,2,402,2,4301.54,1
10,2,402,395,4621.0,1
199,2,402,116,3919.67,1
76,1,402,383,4063.07,1
106,2,402,234,8009.98,1
179,1,402,12,17549.69,1
111,2,402,396,8398.7,1
43,1,402,74,8824.78,1
173,2,402,53,5483.11,1
183,2,402,240,19974.95,1
53,2,402,229,3029.63,1
42,1,402,177,10647.58,1
116,2,402,343,4882.98,1
30,2,402,408,14970.97,1
66,1,402,115,2542.72,1
35,2,402,412,1494.53,1
195,2,402,306,11969.68,1
104,2,402,36,11820.52,1
73,1,402,163,1723.42,1
48,1,402,270,12493.45,1
33,1,402,27,7641.58,1
135,5,402,94,1497.73,1
184,3,402,69,8499.77,1
196,3,402,125,3731.77,1
78,5,402,427,1515.36,1
20,5,402,10,1664.52,1
88,3,402,87,9409.54,1
39,3,402,52,3485.46,1
22,3,402,176,3475.9,1
79,4,402,142,2151.03,1
37,5,402,323,3746.73,1
152,3,402,380,3376.95,1
67,5,402,40,1398.67,1
192,3,402,324,15874.85,1
97,3,402,137,6496.56,1
120,5,402,303,8201.29,1
122,4,402,328,1317.44,1
74,4,402,334,1654.05,1
137,4,402,17,10066.61,1
4,5,402,3,8748.45,1
110,3,402,422,8400.99,1
160,4,402,54,10598.09,1
40,4,402,473,5531.58,1
121,3,402,181,1422.92,1
149,5,402,171,14459.55,1
90,5,402,11,6817.1,1
189,5,402,416,5572.04,1
36,3,402,13,2778.93,1
156,3,402,419,4967.46,1
11,3,402,8,5755.88,1
89,3,402,149,6115.21,1
185,3,402,146,4633.47,1
169,3,402,471,8550.73,1
15,3,402,335,3786.22,1
168,5,402,252,12240.81,1
56,4,402,414,9678.27,1
198,3,402,80,3912.7,1
59,5,402,50,4486.06,1
6,5,402,44,4309.6,1
178,4,402,330,22058.66,1
64,5,402,257,3684.14,1
146,5,402,479,7211.87,1
58,4,402,248,9275.85,1
140,3,402,417,14181.25,1
109,3,402,155,4468.68,1
151,5,402,331,1790.37,1
139,4,402,70,1584.56,1
197,5,402,254,3551.86,1
130,5,402,245,3756.63,1
2,3,402,463,1390.78,1
131,3,402,326,8024.02,1
200,5,402,318,8859.78,1
85,3,402,58,11068.83,1
119,5,402,74,5708.43,1
9,3,402,72,10902.97,1
38,5,402,139,2861.71,1
7,5,402,431,6027.07,1
65,3,402,311,3680.3,1
123,5,402,183,8155.11,1
163,4,402,77,6624.68,1
125,3,402,113,5125.98,1
147,2,430,64,1299.95,1
124,2,430,329,6752.31,1
175,1,430,328,2110.43,1
171,1,430,245,6568.92,1
148,2,430,65,3670.49,1
5,2,430,112,1855.55,1
128,1,430,341,5130.87,1
82,2,430,43,1321.26,1
28,1,430,253,1328.35,1
46,1,430,390,8233.47,1
91,2,430,233,9109.56,1
176,2,430,241,1671.24,1
172,1,430,351,11848.57,1
155,1,430,121,1668.81,1
19,2,430,223,1481.88,1
94,1,430,394,2087.58,1
26,2,430,350,7635.38,1
55,2,430,313,2679.61,1
29,1,430,62,3440.37,1
181,1,430,249,9235.62,1
118,1,430,169,1451.11,1
174,1,430,183,12278.42,1
141,1,430,63,8469.03,1
188,1,430,386,12495.85,1
112,2,430,419,3600.8,1
34,1,430,16,1361.02,1
69,1,430,68,3547.08,1
62,1,430,422,4414.81,1
190,2,430,254,3403.21,1
17,2,430,2,4301.54,1
10,2,430,395,4621.0,1
199,2,430,116,3919.67,1
76,1,430,383,4063.07,1
106,2,430,234,8009.98,1
179,1,430,12,17549.69,1
111,2,430,396,8398.7,1
43,1,430,74,8824.78,1
173,2,430,53,5483.11,1
183,2,430,240,19974.95,1
53,2,430,229,3029.63,1
42,1,430,177,10647.58,1
116,2,430,343,4882.98,1
30,2,430,408,14970.97,1
66,1,430,115,2542.72,1
35,2,430,412,1494.53,1
195,2,430,306,11969.68,1
104,2,430,36,11820.52,1
73,1,430,163,1723.42,1
48,1,430,270,12493.45,1
33,1,430,27,7641.58,1
135,5,430,94,1497.73,1
184,3,430,69,8499.77,1
196,3,430,125,3731.77,1
78,5,430,427,1515.36,1
20,5,430,10,1664.52,1
88,3,430,87,9409.54,1
39,3,430,52,3485.46,1
22,3,430,176,3475.9,1
79,4,430,142,2151.03,1
37,5,430,323,3746.73,1
152,3,430,380,3376.95,1
67,5,430,40,1398.67,1
192,3,430,324,15874.85,1
97,3,430,137,6496.56,1
120,5,430,303,8201.29,1
122,4,430,328,1317.44,1
74,4,430,334,1654.05,1
137,4,430,17,10066.61,1
4,5,430,3,8748.45,1
110,3,430,422,8400.99,1
160,4,430,54,10598.09,1
40,4,430,473,5531.58,1
121,3,430,181,1422.92,1
149,5,430,171,14459.55,1
90,5,430,11,6817.1,1
189,5,430,416,5572.04,1
36,3,430,13,2778.93,1
156,3,430,419,4967.46,1
11,3,430,8,5755.88,1
89,3,430,149,6115.21,1
185,3,430,146,4633.47,1
169,3,430,471,8550.73,1
15,3,430,335,3786.22,1
168,5,430,252,12240.81,1
56,4,430,414,9678.27,1
198,3,430,80,3912.7,1
59,5,430,50,4486.06,1
6,5,430,44,4309.6,1
178,4,430,330,22058.66,1
64,5,430,257,3684.14,1
146,5,430,479,7211.87,1
58,4,430,248,9275.85,1
140,3,430,417,14181.25,1
109,3,430,155,4468.68,1
151,5,430,331,1790.37,1
139,4,430,70,1584.56,1
197,5,430,254,3551.86,1
130,5,430,245,3756.63,1
2,3,430,463,1390.78,1
131,3,430,326,8024.02,1
200,5,430,318,8859.78,1
85,3,430,58,11068.83,1
119,5,430,74,5708.43,1
9,3,430,72,10902.97,1
38,5,430,139,2861.71,1
7,5,430,431,6027.07,1
65,3,430,311,3680.3,1
123,5,430,183,8155.11,1
